ShS,CP,F,DD,G
0.6,100,1,1.36,4426.02
0.9,100,1,1.36,3245.91
1.2,100,1,1.36,2372.262
1.5,100,1,1.36,2408.49
0.6,100,1,1.39,5113.41
0.9,100,1,1.39,3436.05
1.2,100,1,1.39,2592.78
1.5,100,1,1.39,2618.27
0.6,100,1,1.42,5575.01
0.9,100,1,1.42,4108.6
1.2,100,1,1.42,2934.22
1.5,100,1,1.42,2728.07
0.6,100,1,1.45,5575.01
0.9,100,1,1.45,3687.09
1.2,100,1,1.45,3289.86
1.5,100,1,1.45,3112.36
0.6,100,1,1.48,6038.49
0.9,100,1,1.48,4179.93
1.2,100,1,1.48,3551.53
1.5,100,1,1.48,3344.38
0.6,70,1,1.36,3565.07
0.9,70,1,1.36,2417
1.2,70,1,1.36,2270.61
1.5,70,1,1.36,1806.91
0.6,70,1,1.39,3819.72
0.9,70,1,1.39,2867.46
1.2,70,1,1.39,2679.94
1.5,70,1,1.39,2183.92
0.6,70,1,1.42,4159.25
0.9,70,1,1.42,3052.92
1.2,70,1,1.42,2641.97
1.5,70,1,1.42,2181.48
0.6,70,1,1.45,5005.9
0.9,70,1,1.45,3438.1
1.2,70,1,1.45,2818.74
1.5,70,1,1.45,2529.33
0.6,70,1,1.48,5447.2
0.9,70,1,1.48,3239.69
1.2,70,1,1.48,2836.45
1.5,70,1,1.48,2891.98
0.6,50,1,1.36,3051.48
0.9,50,1,1.36,2368.15
1.2,50,1,1.36,2127.44
1.5,50,1,1.36,1561.16
0.6,50,1,1.39,3671.17
0.9,50,1,1.39,2704.74
1.2,50,1,1.39,2295.57
1.5,50,1,1.39,1959.48
0.6,50,1,1.42,3782.11
0.9,50,1,1.42,2739.07
1.2,50,1,1.42,2295.57
1.5,50,1,1.42,2149.79
0.6,50,1,1.45,3997.01
0.9,50,1,1.45,3308.98
1.2,50,1,1.45,2530.46
1.5,50,1,1.45,2149.79
0.6,50,1,1.48,3889.56
0.9,50,1,1.48,3138.52
1.2,50,1,1.48,2466.4
1.5,50,1,1.48,2800.7
0.6,100,0.5,1.36,3236.86
0.9,100,0.5,1.36,3305.96
1.2,100,0.5,1.36,2497.82
1.5,100,0.5,1.36,2220.01
0.6,100,0.5,1.39,5162.73
0.9,100,0.5,1.39,3541.66
1.2,100,0.5,1.39,2524.71
1.5,100,0.5,1.39,2602.49
0.6,100,0.5,1.42,4978.23
0.9,100,0.5,1.42,4005.87
1.2,100,0.5,1.42,2692.46
1.5,100,0.5,1.42,2728.37
0.6,100,0.5,1.45,4312.96
0.9,100,0.5,1.45,3498.64
1.2,100,0.5,1.45,2891.49
1.5,100,0.5,1.45,2797.66
0.6,100,0.5,1.48,5987.67
0.9,100,0.5,1.48,3675.79
1.2,100,0.5,1.48,3276.36
1.5,100,0.5,1.48,3266.04
0.6,100,0.3,1.36,4374.72
0.9,100,0.3,1.36,4251.78
1.2,100,0.3,1.36,2822.07
1.5,100,0.3,1.36,2537.73
0.6,100,0.3,1.39,5025.05
0.9,100,0.3,1.39,3770.89
1.2,100,0.3,1.39,3274.04
1.5,100,0.3,1.39,2345.21
0.6,100,0.3,1.42,4936.6
0.9,100,0.3,1.42,3876.06
1.2,100,0.3,1.42,2687.95
1.5,100,0.3,1.42,2805.97
0.6,100,0.3,1.45,4982.72
0.9,100,0.3,1.45,3936.15
1.2,100,0.3,1.45,3362.23
1.5,100,0.3,1.45,2885.13
0.6,100,0.3,1.48,5874.77
0.9,100,0.3,1.48,4710.6
1.2,100,0.3,1.48,2634.67
1.5,100,0.3,1.48,3246.54
